links-href,name,address,rate,built_up_area,carpet_area,floor_no,type,landmark,booking_amount,washrooms
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-kadubeesanahalli-bangalore-220-sq-ft-20-000-1037330.htm,"Commercial Shop for Rent in Kadubeesanahalli, Bangalore","Kadubeesanahalli, Bangalore, Karnataka by Syed Abdul Rabbani Bareed - View Map","20,000",Carpet Area 200 Sq.ft.,Ownership Individual,Property on Floor Ground,Project & Society Anwar Layout,Bus Stop .1 kms,1 Lac,Built Up Area 220 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-kadubeesanahalli-bangalore-220-sq-ft-20-000-1037330.htm,"Commercial Shop for Rent in Kadubeesanahalli, Bangalore","Kadubeesanahalli, Bangalore, Karnataka by Syed Abdul Rabbani Bareed - View Map","20,000",Carpet Area 200 Sq.ft.,Ownership Individual,Property on Floor Ground,Project & Society Anwar Layout,Bank 2 kms,1 Lac,Built Up Area 220 Sq.ft.
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jakkur-bangalore-2050-sq-ft-70-000-1052064.htm,"Showroom for Rent in Jakkur, Bangalore","Jakkur, Bangalore, Karnataka by Sushma S - View Map","70,000",Built Up Area 2050 Sq.ft.,Carpet Area 1676 Sq.ft.,Property on Floor Ground,Type Showrooms,Bus Stop .25 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-peenya-2nd-stage-bangalore-31-sq-ft-8-k-1009674.htm,"Commercial Shop for Rent in Peenya 2nd Stage, Bangalore","Peenya 2nd Stage, Bangalore, Karnataka by vinutha - View Map","8,000",Plot/Land Area 31 Sq.ft.,Carpet Area 180 Sq.ft.,Type Commercial Shops,Ownership Individual,,"50,000",Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-indiranagar-kodihalli-bangalore-112-sq-ft-23-000-1034187.htm,"Commercial Shop for Rent in Indiranagar, Kodihalli, Bangalore","Kodihalli, Indiranagar, Kodihalli, Bangalore, Karnataka by mohanraj - View Map","23,000",Ownership Individual,Type Commercial Shops,null,Total Floors 1,Metro <1 kms,2 Lac,Built Up Area 112 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-koramangala-bangalore-1765-sq-ft-75-k-1004477.htm,"Commercial Shop for Rent in Koramangala, Bangalore","Koramangala, Bangalore, Karnataka by Square Feet Realtors - View Map","75,000",Built Up Area 1765 Sq.ft.,Ownership Agent,Total Floors 6,Property on Floor 1st,Railway Station 2 kms,6 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-kadubeesanahalli-bangalore-220-sq-ft-20-000-1037330.htm,"Commercial Shop for Rent in Kadubeesanahalli, Bangalore","Kadubeesanahalli, Bangalore, Karnataka by Syed Abdul Rabbani Bareed - View Map","20,000",Carpet Area 200 Sq.ft.,Ownership Individual,Property on Floor Ground,Project & Society Anwar Layout,Hospitals .2 kms,1 Lac,Built Up Area 220 Sq.ft.
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jayanagar-bangalore-1590-sq-ft-35-000-1051775.htm,"Showroom for Rent in Jayanagar, Bangalore","Jayanagar, Bangalore, Karnataka by Mallikarjun M G - View Map","35,000",Built Up Area 1590 Sq.ft.,Carpet Area 1450 Sq.ft.,Property on Floor Ground,Type Showrooms,School 2 kms,3 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-koramangala-bangalore-1765-sq-ft-75-k-1004477.htm,"Commercial Shop for Rent in Koramangala, Bangalore","Koramangala, Bangalore, Karnataka by Square Feet Realtors - View Map","75,000",Built Up Area 1765 Sq.ft.,Ownership Agent,Total Floors 6,Property on Floor 1st,Airport 5 kms,6 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-samethanahalli-bangalore-1934-sq-ft-2-lac-1011863.htm,"Commercial Shop for Rent in Samethanahalli, Bangalore","Samethanahalli, Bangalore, Karnataka by HI-TECH REALTY WAREHOUSE RENTING SERVICES - View Map",2 Lac,Built Up Area 1934 Sq.ft.,Carpet Area 1900 Sq.ft.,Type Commercial Shops,Ownership Agent,Airport 45 kms,5 Lac,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-ramamurthy-bangalore-850-sq-ft-50-k-1017308.htm,Commercial Shop for Rent in Ramamurthy Bangalore,"Ramamurthy Bangalore, Bangalore, Karnataka by Deepak Jain - View Map","50,000",Built Up Area 850 Sq.ft.,Carpet Area 750 Sq.ft.,Property on Floor Ground,Type Commercial Shops,Bank 0.5 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-banashankari-stage-6-bangalore-880-sq-ft-40-000-1043914.htm,"Commercial Shop for Rent in Banashankari Stage 6, Bangalore","Banashankari Stage 6, Bangalore, Karnataka by Kiran - View Map","40,000",Carpet Area 880 Sq.ft.,Super Area 880 Sq.ft.,Type Commercial Shops,Age of Property Under Construction,Hospitals 3 kms,4.80 Lac,Built Up Area 880 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-lalbagh-road-bangalore-1500-sq-ft-35-000-1038864.htm,"Commercial Shop for Rent in Lalbagh Road, Bangalore","Lalbagh Road, Bangalore, Karnataka by RAMESH BHAUWALA - View Map","35,000",Built Up Area 1500 Sq.ft.,Ownership Individual,Total Floors 2,Property on Floor 2nd,,Ready to Move,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-ramamurthy-bangalore-850-sq-ft-50-k-1017308.htm,Commercial Shop for Rent in Ramamurthy Bangalore,"Ramamurthy Bangalore, Bangalore, Karnataka by Deepak Jain - View Map","50,000",Built Up Area 850 Sq.ft.,Carpet Area 750 Sq.ft.,Property on Floor Ground,Type Commercial Shops,Airport 40 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-phase-1-electronic-city-bangalore-4000-sq-ft-1-lac-1029809.htm,"Commercial Shop for Rent in Phase 1, Electronic City, Bangalore","Electronic City, Phase 1, Electronic City, Bangalore, Karnataka by Dr Krishnappa - View Map",1 Lac,Built Up Area 4000 Sq.ft.,Carpet Area 3500 Sq.ft.,Age of Property New Construction,Ownership Individual,School 3 kms,Semi-Furnished,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-ramamurthy-bangalore-850-sq-ft-50-k-1017308.htm,Commercial Shop for Rent in Ramamurthy Bangalore,"Ramamurthy Bangalore, Bangalore, Karnataka by Deepak Jain - View Map","50,000",Built Up Area 850 Sq.ft.,Carpet Area 750 Sq.ft.,Property on Floor Ground,Type Commercial Shops,School 1 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jayanagar-bangalore-1590-sq-ft-35-000-1051775.htm,"Showroom for Rent in Jayanagar, Bangalore","Jayanagar, Bangalore, Karnataka by Mallikarjun M G - View Map","35,000",Built Up Area 1590 Sq.ft.,Carpet Area 1450 Sq.ft.,Property on Floor Ground,Type Showrooms,ATM .5 kms,3 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-koramangala-bangalore-1765-sq-ft-75-k-1004477.htm,"Commercial Shop for Rent in Koramangala, Bangalore","Koramangala, Bangalore, Karnataka by Square Feet Realtors - View Map","75,000",Built Up Area 1765 Sq.ft.,Ownership Agent,Total Floors 6,Property on Floor 1st,Bank .1 kms,6 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-challaghatta-bangalore-400-sq-ft-15-000-1035383.htm,"Commercial Shop for Rent in Challaghatta, Bangalore","Challaghatta, Bangalore, Karnataka by Tejash Reddy - View Map","15,000",Built Up Area 400 Sq.ft.,Ownership Individual,null,Property on Floor Ground,Bus Stop 0.5 kms,"50,000",Washrooms 1 Bath
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jakkur-bangalore-2050-sq-ft-70-000-1052064.htm,"Showroom for Rent in Jakkur, Bangalore","Jakkur, Bangalore, Karnataka by Sushma S - View Map","70,000",Built Up Area 2050 Sq.ft.,Carpet Area 1676 Sq.ft.,Property on Floor Ground,Type Showrooms,Bank 0.2 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-samethanahalli-bangalore-1934-sq-ft-2-lac-1011863.htm,"Commercial Shop for Rent in Samethanahalli, Bangalore","Samethanahalli, Bangalore, Karnataka by HI-TECH REALTY WAREHOUSE RENTING SERVICES - View Map",2 Lac,Built Up Area 1934 Sq.ft.,Carpet Area 1900 Sq.ft.,Type Commercial Shops,Ownership Agent,Railway Station 5 kms,5 Lac,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jakkur-bangalore-2050-sq-ft-70-000-1052064.htm,"Showroom for Rent in Jakkur, Bangalore","Jakkur, Bangalore, Karnataka by Sushma S - View Map","70,000",Built Up Area 2050 Sq.ft.,Carpet Area 1676 Sq.ft.,Property on Floor Ground,Type Showrooms,Metro 8 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/hotel-restaurant-for-rent-in-agara-hsr-layout-bangalore-2800-sq-ft-60-000-1050354.htm,"Hotels for Rent in Agara, HSR Layout, Bangalore","HSR Layout, Agara, HSR Layout, Bangalore, Karnataka by Dinesh - View Map","60,000",Built Up Area 2800 Sq.ft.,Carpet Area 3000 Sq.ft.,Type Hotels,Ownership Individual,,3.60 Lac,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-kadubeesanahalli-bangalore-220-sq-ft-20-000-1037330.htm,"Commercial Shop for Rent in Kadubeesanahalli, Bangalore","Kadubeesanahalli, Bangalore, Karnataka by Syed Abdul Rabbani Bareed - View Map","20,000",Carpet Area 200 Sq.ft.,Ownership Individual,Property on Floor Ground,Project & Society Anwar Layout,Railway Station .5 kms,1 Lac,Built Up Area 220 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-koramangala-bangalore-1765-sq-ft-75-k-1004477.htm,"Commercial Shop for Rent in Koramangala, Bangalore","Koramangala, Bangalore, Karnataka by Square Feet Realtors - View Map","75,000",Built Up Area 1765 Sq.ft.,Ownership Agent,Total Floors 6,Property on Floor 1st,Shopping Mall 3 kms,6 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-hosa-road-bangalore-600-sq-ft-18-000-1028229.htm,"Commercial Shop for Rent in Hosa Road, Bangalore","Hosa Road, Bangalore, Karnataka by Dhramveer - View Map","18,000",Built Up Area 600 Sq.ft.,Carpet Area 550 Sq.ft.,Property on Floor Ground,Type Commercial Shops,Railway Station 2.5 kms,1 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-banaswadi-bangalore-1500-sq-ft-30-k-999569.htm,"Commercial Shop for Rent in Banaswadi, Bangalore","Banaswadi, Bangalore, Karnataka by Professional property consultants - View Map","30,000",Built Up Area 1500 Sq.ft.,Ownership Individual,Property on Floor Ground,Type Commercial Shops,,2 Lac,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-indiranagar-kodihalli-bangalore-112-sq-ft-23-000-1034187.htm,"Commercial Shop for Rent in Indiranagar, Kodihalli, Bangalore","Kodihalli, Indiranagar, Kodihalli, Bangalore, Karnataka by mohanraj - View Map","23,000",Ownership Individual,Type Commercial Shops,null,Total Floors 1,Hospitals <1 kms,2 Lac,Built Up Area 112 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-indiranagar-kodihalli-bangalore-112-sq-ft-23-000-1034187.htm,"Commercial Shop for Rent in Indiranagar, Kodihalli, Bangalore","Kodihalli, Indiranagar, Kodihalli, Bangalore, Karnataka by mohanraj - View Map","23,000",Ownership Individual,Type Commercial Shops,null,Total Floors 1,Bank <1 kms,2 Lac,Built Up Area 112 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-samethanahalli-bangalore-1934-sq-ft-2-lac-1011863.htm,"Commercial Shop for Rent in Samethanahalli, Bangalore","Samethanahalli, Bangalore, Karnataka by HI-TECH REALTY WAREHOUSE RENTING SERVICES - View Map",2 Lac,Built Up Area 1934 Sq.ft.,Carpet Area 1900 Sq.ft.,Type Commercial Shops,Ownership Agent,Metro 5 kms,5 Lac,Washrooms 2 Baths
