links-href,name,address,rate,built_up_area,carpet_area,floor_no,type,landmark,booking_amount,washrooms
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-thyagraj-nagar-bangalore-200-sq-ft-9-000-881333.htm,"Commercial Shop for Rent in Thyagraj Nagar, Bangalore","Thyagraj Nagar, Bangalore, Karnataka by Darshan K J - View Map","9,000",Built Up Area 200 Sq.ft.,Carpet Area 200 Sq.ft.,Type Commercial Shops,Age of Property 0 to 5 years,School 0.1 kms,1 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-phase-1-electronic-city-bangalore-4000-sq-ft-1-lac-1029809.htm,"Commercial Shop for Rent in Phase 1, Electronic City, Bangalore","Electronic City, Phase 1, Electronic City, Bangalore, Karnataka by Dr Krishnappa - View Map",1 Lac,Built Up Area 4000 Sq.ft.,Carpet Area 3500 Sq.ft.,Age of Property New Construction,Ownership Individual,Hospitals 3 kms,Semi-Furnished,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-challaghatta-bangalore-400-sq-ft-15-000-1035383.htm,"Commercial Shop for Rent in Challaghatta, Bangalore","Challaghatta, Bangalore, Karnataka by Tejash Reddy - View Map","15,000",Built Up Area 400 Sq.ft.,Ownership Individual,null,Property on Floor Ground,Metro 3 kms,"50,000",Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-subbanna-palya-bangalore-140-sq-ft-6-000-1033979.htm,"Commercial Shop for Rent in Subbanna Palya, Bangalore","Subbanna Palya, Bangalore, Karnataka by Sangeetha - View Map","6,000",Super Area 150 Sq.ft.,Ownership Individual,Total Floors 2,Property on Floor Ground,,"40,000",Built Up Area 140 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-kadubeesanahalli-bangalore-220-sq-ft-20-000-1037330.htm,"Commercial Shop for Rent in Kadubeesanahalli, Bangalore","Kadubeesanahalli, Bangalore, Karnataka by Syed Abdul Rabbani Bareed - View Map","20,000",Carpet Area 200 Sq.ft.,Ownership Individual,Property on Floor Ground,Project & Society Anwar Layout,School .1 kms,1 Lac,Built Up Area 220 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-challaghatta-bangalore-400-sq-ft-15-000-1035383.htm,"Commercial Shop for Rent in Challaghatta, Bangalore","Challaghatta, Bangalore, Karnataka by Tejash Reddy - View Map","15,000",Built Up Area 400 Sq.ft.,Ownership Individual,null,Property on Floor Ground,Bank 2 kms,"50,000",Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-samethanahalli-bangalore-1934-sq-ft-2-lac-1011863.htm,"Commercial Shop for Rent in Samethanahalli, Bangalore","Samethanahalli, Bangalore, Karnataka by HI-TECH REALTY WAREHOUSE RENTING SERVICES - View Map",2 Lac,Built Up Area 1934 Sq.ft.,Carpet Area 1900 Sq.ft.,Type Commercial Shops,Ownership Agent,ATM 1 kms,5 Lac,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-challaghatta-bangalore-400-sq-ft-15-000-1035383.htm,"Commercial Shop for Rent in Challaghatta, Bangalore","Challaghatta, Bangalore, Karnataka by Tejash Reddy - View Map","15,000",Built Up Area 400 Sq.ft.,Ownership Individual,null,Property on Floor Ground,School 0.2 kms,"50,000",Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-challaghatta-bangalore-400-sq-ft-15-000-1035383.htm,"Commercial Shop for Rent in Challaghatta, Bangalore","Challaghatta, Bangalore, Karnataka by Tejash Reddy - View Map","15,000",Built Up Area 400 Sq.ft.,Ownership Individual,null,Property on Floor Ground,Airport 35 kms,"50,000",Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-hosa-road-bangalore-600-sq-ft-18-000-1028229.htm,"Commercial Shop for Rent in Hosa Road, Bangalore","Hosa Road, Bangalore, Karnataka by Dhramveer - View Map","18,000",Built Up Area 600 Sq.ft.,Carpet Area 550 Sq.ft.,Property on Floor Ground,Type Commercial Shops,Metro 1.5 kms,1 Lac,Washrooms 1 Bath
