web-scraper-order,web-scraper-start-url,links,links-href,reat_name,address,cuisine,type,avg_cost,bestselling_items,facilities_features,contact,ratings,reviesws,votes,timing,pages,pages-href
"1655582362-4618","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=109","Royce' - JW Marriott","https://www.dineout.co.in/bangalore/royce-jw-marriott-vittal-mallya-road-central-bangalore-16999","Royce' - JW Marriott","JW Marriott Hotel |","Desserts","5 Star","1,000 for two people","null","Air Conditioned","080-67189999","4","1 reviews","1 Votes","Time:  (Opens at 10:00 AM)Sunday10:00 AM to 11:30 PMMonday10:00 AM to 11:30 PMTuesday10:00 AM to 11:30 PMWednesday10:00 AM to 11:30 PMThursday10:00 AM to 11:30 PMFriday10:00 AM to 11:30 PMSaturday10:00 AM to 11:30 PM","",""
"1655577874-3705","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=153","Khan Saheb Grills and Rolls","https://www.dineout.co.in/bangalore/khan-saheb-grills-and-rolls-sarjapur-road-south-bangalore-38716","Khan Saheb Grills and Rolls","Sarjapur Road |","North Indian","QSR","500 for two people","Chicken Tikka Roll, Veg Roll","Home Delivery","09845668822","3.7","1 reviews","12 Votes","Time:  (Opens at 12:30 PM)Sunday12:30 PM to 11:00 PMMonday12:30 PM to 11:00 PMTuesday12:30 PM to 11:00 PMWednesday12:30 PM to 11:00 PMThursday12:30 PM to 11:00 PMFriday12:30 PM to 11:00 PMSaturday12:30 PM to 11:00 PM","",""
"1655576770-3511","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=162","Loca Moca","https://www.dineout.co.in/bangalore/loca-moca-frazer-town-north-bangalore-92146","Loca Moca","Frazer Town |","Fast Food","Cafe","1,200 for two people","null","Wifi","07204495605","null","null","null","Time:  (Opens at 09:00 AM)Sunday09:00 AM to 11:00 PMMonday09:00 AM to 11:00 PMTuesday09:00 AM to 11:00 PMWednesday09:00 AM to 11:00 PMThursday09:00 AM to 11:00 PMFriday09:00 AM to 11:00 PMSaturday09:00 AM to 11:00 PM","",""
"1655589320-5822","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=52","Leon Grill","https://www.dineout.co.in/bangalore/leon-grill-kalyan-nagar-north-bangalore-35807","Leon Grill","Kalyan Nagar |","Fast Food","Casual Dining","600 for two people","Burgers, Rice, Peri Peri Chicken Salad, Jumbo Royale Burger, Salads, Rolls, Peri Peri Wings","Air Conditioned","080-65799599","3.6","1 reviews","9 Votes","Time:  (Opens at 07:00 AM)Sunday07:00 AM to 12:00 AMMonday07:00 AM to 11:00 PMTuesday07:00 AM to 11:00 PMWednesday07:00 AM to 11:00 PMThursday07:00 AM to 11:00 PMFriday07:00 AM to 12:00 AMSaturday07:00 AM to 12:00 AM","",""
"1655561169-1233","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=271","Spicy Andhra","https://www.dineout.co.in/bangalore/spicy-andhra-marathahalli-east-bangalore-91659","Spicy Andhra","Marathahalli |","Andhra","QSR","600 for two people","null","Home Delivery","08041153336","null","null","null","Time: 07:00 AM to 01:00 AM (Open Now)Sunday07:00 AM to 01:00 AMMonday07:00 AM to 01:00 AMTuesday07:00 AM to 01:00 AMWednesday07:00 AM to 01:00 AMThursday07:00 AM to 01:00 AMFriday07:00 AM to 01:00 AMSaturday07:00 AM to 01:00 AM","",""
"1655559495-958","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=284","New Mast Punjabi","https://www.dineout.co.in/bangalore/new-mast-punjabi-nagawara-north-bangalore-35273","New Mast Punjabi","Nagawara |","North Indian","Casual Dining","400 for two people","null","Home Delivery","09980715966","null","null","null","Time: 11:00 AM to 11:00 PM (Open Now)Sunday11:00 AM to 11:00 PMMonday11:00 AM to 11:00 PMTuesday11:00 AM to 11:00 PMWednesday11:00 AM to 11:00 PMThursday11:00 AM to 11:00 PMFriday11:00 AM to 11:00 PMSaturday11:00 AM to 11:00 PM","",""
"1655588586-5715","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=57","Thanco's Natural Ice Cream","https://www.dineout.co.in/bangalore/thancos-natural-ice-cream-banaswadi-north-bangalore-39672","Thanco's Natural Ice Cream","Banaswadi |","Desserts","Dessert Parlour","300 for two people","null","Air Conditioned","080-42253691","3.3","1 reviews","5 Votes","Time:  (Opens at 11:00 AM)Sunday11:00 AM to 11:00 PMMonday11:00 AM to 11:00 PMTuesday11:00 AM to 11:00 PMWednesday11:00 AM to 11:00 PMThursday11:00 AM to 11:00 PMFriday11:00 AM to 11:00 PMSaturday11:00 AM to 11:00 PM","",""
"1655562973-1539","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=256","Luqma Restaurant","https://www.dineout.co.in/bangalore/luqma-restaurant-narayanapura-east-bangalore-80860","Luqma Restaurant","Narayanapura |","Chinese","Casual Dining","600 for two people","null","Cards Accepted","09019444741","null","null","null","Time: 11:30 AM to 11:30 PM (Open Now)Sunday11:30 AM to 11:30 PMMonday11:30 AM to 11:30 PMTuesday11:30 AM to 11:30 PMWednesday11:30 AM to 11:30 PMThursday11:30 AM to 11:30 PMFriday11:30 AM to 11:30 PMSaturday11:30 AM to 11:30 PM","",""
"1655576944-3547","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=160","Little Kitchen","https://www.dineout.co.in/bangalore/little-kitchen-koramangala-south-bangalore-4309","Little Kitchen","Koramangala |","Kerala","Casual Dining","500 for two people","Chicken Curry, Red Rice, Fish Curry","Home Delivery","0080-25631504","3","2 reviews","2 Votes","Time:  (Opens at 07:00 AM)Sunday07:00 AM to 10:00 PMMonday07:00 AM to 10:00 PMTuesday07:00 AM to 10:00 PMWednesday07:00 AM to 10:00 PMThursday07:00 AM to 10:00 PMFriday07:00 AM to 10:00 PMSaturday07:00 AM to 10:00 PM","",""
"1655592818-6507","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=19","K-OS The Game Bar","https://www.dineout.co.in/bangalore/k-os-the-game-bar-koramangala-south-bangalore-96262","K-OS The Game Bar","Koramangala |","Finger Food","Nightlife","1,700 for two people","Chicken Satay, Mushroom Aranchi, Thai Fish Cakes, Tandoori Broccoli, Peri Peri Chicken.","Smoking Area","09972104540","4.4","null","1 Votes","Time:  (Opens at 12:00 PM)Sunday12:00 PM to 12:00 AMMonday12:00 PM to 12:00 AMTuesday12:00 PM to 12:00 AMWednesday12:00 PM to 12:00 AMThursday12:00 PM to 12:00 AMFriday12:00 PM to 12:00 AMSaturday12:00 PM to 12:00 AM","",""
