Pages,Pages-href,rent_per_month,address,carpet_area_sqft,floor_no,washrooms,places_nearby,property_age
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,"50,000","in POSH COMMERCIAL COMPLEX , ITPL, , Bangalore East, Bangalore",1000,null,2 shared washrooms available,Pattandur agrahara metro station,null
,,null,null,null,null,null,null,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"29,700","in M.G Road, , Bangalore Central, Bangalore",300,null,10 shared washrooms available,Btm layout metro station,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,"25,000","in HIGH RISE COMMERCIAL COMPLEX , Whitefield, , Bangalore East, Bangalore",500,null,2 shared washrooms available,Looking Good Furniture,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"20,000","in Dickenson Road, , Bangalore Central, Bangalore",320,null,"5 washrooms available (1 private, 4 shared)",Citibank ATM,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,1.5 Lac,"in HIGH RISE COMMERCIAL COMPLEX , Indira Nagar, , Bangalore East, Bangalore",2500,null,2 private washrooms available,Foursquare Gospel Church,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,"20,000","in Bommasandra, , Bangalore South, Bangalore",600,Ground,Public and Private Washrooms available,Bommasandra metro station,1 to 5 Year Old
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,1.39 Lac,"in POSH COMMERCIAL COMPLEX , Indira Nagar, , Bangalore East, Bangalore",1850,null,2 private washrooms available,Foursquare Gospel Church,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"60,000","in M.G Road, , Bangalore Central, Bangalore",600,null,null,Mahatma gandhi road metro station,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,1.5 Lac,"in Kudlu Gate, , Bangalore South, Bangalore",null,null,null,Beratena agrahara metro station,0 to 1 Year Old
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"35,000","in Dickenson Road, , Bangalore Central, Bangalore",450,null,"5 washrooms available (1 private, 4 shared)",Citibank ATM,null
,,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,"52,000","in HIGH RISE COMMERCIAL COMPLEX , ITPL, , Bangalore East, Bangalore",1065,null,1 shared washroom available,Pattandur agrahara metro station,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"50,000","in POSH COMMERCIAL COMPLEX , Infantry Road, , Bangalore Central, Bangalore",1150,null,1 private washroom available,Shivajinagar metro station,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,1.3 Lac,"in Infantry Road, , Bangalore Central, Bangalore",1600,null,2 private washrooms available,Infantry Road Furniture Market,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"63,000","in Dickenson Road, , Bangalore Central, Bangalore",750,null,"5 washrooms available (1 private, 4 shared)",Citibank ATM,null
,,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,"45,000","in Sigma Tech Park, Whitefield, , Bangalore East, Bangalore",1000,null,2 shared washrooms available,Looking Good Furniture,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"70,000","in Ulsoor, , Bangalore Central, Bangalore",1500,null,1 shared washroom available,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,1.2 Lac,"in Residency Road, , Bangalore Central, Bangalore",1400,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
